model,eps 8/255,eps 16/255,eps 32/255,eps 64/255,eps 128/255
eps 8/255,17.249527549743654,14.35498275756836,12.184740829467774,11.173072814941406,10.94700222015381
eps 16/255,19.08099784851074,14.177604866027831,11.889724922180177,11.07263469696045,10.996792793273926
eps 32/255,21.52127342224121,17.05418758392334,12.12995777130127,10.630165100097656,10.402925300598143
eps 64/255,22.83713722229004,20.3762149810791,15.489743423461912,10.516921043395996,10.173398971557615
eps 128/255,23.100482559204103,22.060092544555665,20.374526977539062,15.44556484222412,10.39289779663086
