Esperimento,PSNR Qualità,SSIM Qualità,FSIM Qualità,PSNR Protezione,SSIM Protezione,FSIM Protezione,LPIPS Sogg. Orig,LPIPS Glob. Orig,LPIPS Sogg. Edit,LPIPS Glob. Edit,attack_success_score,attack_successes_count,Tasso Attacco,mIoU Ottim. Orig,mIoU Pessim. Orig,mIoU Ottim. Edit,mIoU Pessim. Edit
SD_Inpainting/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,15.7260,0.5534,0.4933,0.2695,0.0695,0.2695,0.4656,5.1721,126,0.6300,0.8554,0.7582,0.4151,0.1789
SD_Img2Img/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,20.4774,0.6738,0.5938,0.2695,0.0695,0.5646,0.3745,5.8863,160,0.8000,0.8554,0.7582,0.4829,0.2327
InstructionPix2Pix/full_dataset/VAE_MSE_FT_2_STAGE,32.4316,0.9316,0.8958,22.6643,0.8052,0.6955,0.2695,0.0695,0.4702,0.1806,5.2988,137,0.6850,0.8554,0.7582,0.7636,0.6034
SD_Inpainting/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,15.2174,0.5253,0.4765,0.3637,0.0939,0.3637,0.5019,6.5258,184,0.9200,0.8406,0.7341,0.4162,0.1660
SD_Img2Img/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,19.3493,0.6516,0.5892,0.3637,0.0939,0.6272,0.4010,5.8196,160,0.8000,0.8406,0.7341,0.4655,0.2234
InstructionPix2Pix/full_dataset/VAE_MSE_FT,30.2450,0.9124,0.8821,22.1250,0.7908,0.6813,0.3637,0.0939,0.5340,0.2026,4.7733,138,0.6900,0.8406,0.7341,0.7439,0.5782
SD_Inpainting/full_dataset/Stage 2,33.3677,0.9690,0.9363,16.8125,0.6418,0.5555,0.2144,0.0560,0.2144,0.3756,4.3771,91,0.4550,0.8694,0.7945,0.4475,0.2182
SD_Img2Img/full_dataset/Stage 2,33.3677,0.9690,0.9363,24.1497,0.8407,0.7338,0.2144,0.0560,0.3343,0.1678,4.0362,96,0.4800,0.8694,0.7945,0.6589,0.4472
InstructionPix2Pix/full_dataset/Stage 2,33.3677,0.9690,0.9363,24.4476,0.8619,0.7516,0.2144,0.0560,0.3392,0.1272,3.3075,75,0.3750,0.8694,0.7945,0.7913,0.6630
