Esperimento,Attacco,Tipo Attacco,Parametro,Variante,Punteggio Successo Attacco,IoU Ottimistico,IoU Pessimistico
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,crop_random@0.5@original,crop_random,0.5,original,2.8700,0.2731,0.1777
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@0.5@immunized,blur,0.5,immunized,2.5200,0.5675,0.3640
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@0.5@original,blur,0.5,original,1.9600,0.7087,0.5809
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@1.0@immunized,blur,1.0,immunized,2.0333,0.6370,0.4495
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@1.0@original,blur,1.0,original,2.4133,0.6785,0.4891
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@2.0@immunized,blur,2.0,immunized,2.2600,0.5793,0.3536
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@2.0@original,blur,2.0,original,2.8733,0.6136,0.3799
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@4.0@immunized,blur,4.0,immunized,3.1367,0.5174,0.2600
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,blur@4.0@original,blur,4.0,original,3.4267,0.5285,0.2629
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,clean@None@immunized,clean,,immunized,3.9633,0.5135,0.2095
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,clean@None@original,clean,,original,2.4200,0.6794,0.5663
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,jpeg@85@immunized,jpeg,85,immunized,3.9000,0.6015,0.3261
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,jpeg@85@original,jpeg,85,original,2.6767,0.7038,0.5623
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,jpeg@60@immunized,jpeg,60,immunized,4.8167,0.5415,0.3144
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,jpeg@60@original,jpeg,60,original,2.2167,0.7018,0.5383
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,jpeg@30@immunized,jpeg,30,immunized,3.8133,0.5393,0.3189
