Esperimento,attack_success_score__blur@0.5@immunized,attack_success_score__blur@0.5@original,attack_success_score__blur@1.0@immunized,attack_success_score__blur@1.0@original,attack_success_score__blur@2.0@immunized,attack_success_score__blur@2.0@original,attack_success_score__blur@4.0@immunized,attack_success_score__blur@4.0@original,attack_success_score__clean@None@immunized,attack_success_score__clean@None@original,attack_success_score__crop_center@0.5@immunized,attack_success_score__crop_center@0.5@original,attack_success_score__crop_center@0.75@immunized,attack_success_score__crop_center@0.75@original,attack_success_score__crop_center@0.9@immunized,attack_success_score__crop_center@0.9@original,attack_success_score__crop_random@0.5@immunized,attack_success_score__crop_random@0.5@original,attack_success_score__crop_random@0.75@immunized,attack_success_score__crop_random@0.75@original,attack_success_score__crop_random@0.9@immunized,attack_success_score__crop_random@0.9@original,attack_success_score__jpeg@30@immunized,attack_success_score__jpeg@30@original,attack_success_score__jpeg@60@immunized,attack_success_score__jpeg@60@original,attack_success_score__jpeg@85@immunized,attack_success_score__jpeg@85@original,optimistic_iou__blur@0.5@immunized,optimistic_iou__blur@0.5@original,optimistic_iou__blur@1.0@immunized,optimistic_iou__blur@1.0@original,optimistic_iou__blur@2.0@immunized,optimistic_iou__blur@2.0@original,optimistic_iou__blur@4.0@immunized,optimistic_iou__blur@4.0@original,optimistic_iou__clean@None@immunized,optimistic_iou__clean@None@original,optimistic_iou__crop_center@0.5@immunized,optimistic_iou__crop_center@0.5@original,optimistic_iou__crop_center@0.75@immunized,optimistic_iou__crop_center@0.75@original,optimistic_iou__crop_center@0.9@immunized,optimistic_iou__crop_center@0.9@original,optimistic_iou__crop_random@0.5@immunized,optimistic_iou__crop_random@0.5@original,optimistic_iou__crop_random@0.75@immunized,optimistic_iou__crop_random@0.75@original,optimistic_iou__crop_random@0.9@immunized,optimistic_iou__crop_random@0.9@original,optimistic_iou__jpeg@30@immunized,optimistic_iou__jpeg@30@original,optimistic_iou__jpeg@60@immunized,optimistic_iou__jpeg@60@original,optimistic_iou__jpeg@85@immunized,optimistic_iou__jpeg@85@original,pessimistic_iou__blur@0.5@immunized,pessimistic_iou__blur@0.5@original,pessimistic_iou__blur@1.0@immunized,pessimistic_iou__blur@1.0@original,pessimistic_iou__blur@2.0@immunized,pessimistic_iou__blur@2.0@original,pessimistic_iou__blur@4.0@immunized,pessimistic_iou__blur@4.0@original,pessimistic_iou__clean@None@immunized,pessimistic_iou__clean@None@original,pessimistic_iou__crop_center@0.5@immunized,pessimistic_iou__crop_center@0.5@original,pessimistic_iou__crop_center@0.75@immunized,pessimistic_iou__crop_center@0.75@original,pessimistic_iou__crop_center@0.9@immunized,pessimistic_iou__crop_center@0.9@original,pessimistic_iou__crop_random@0.5@immunized,pessimistic_iou__crop_random@0.5@original,pessimistic_iou__crop_random@0.75@immunized,pessimistic_iou__crop_random@0.75@original,pessimistic_iou__crop_random@0.9@immunized,pessimistic_iou__crop_random@0.9@original,pessimistic_iou__jpeg@30@immunized,pessimistic_iou__jpeg@30@original,pessimistic_iou__jpeg@60@immunized,pessimistic_iou__jpeg@60@original,pessimistic_iou__jpeg@85@immunized,pessimistic_iou__jpeg@85@original
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,3.3467,2.4400,2.9867,2.8133,3.7100,3.0267,3.8733,3.6167,3.9700,2.1400,6.1033,3.6933,5.6800,2.8633,5.5900,2.5700,6.3433,3.1700,5.8533,2.5733,4.8200,2.6067,4.4200,2.4567,5.2900,2.4633,4.8367,2.5667,0.5402,0.7073,0.5436,0.6375,0.5480,0.6013,0.5283,0.5061,0.4850,0.7300,0.2907,0.3624,0.4196,0.5076,0.4590,0.5828,0.2732,0.2884,0.3781,0.4346,0.4595,0.5441,0.5938,0.6313,0.5650,0.6887,0.5572,0.7062,0.2781,0.5751,0.2700,0.4630,0.2996,0.3804,0.2285,0.2279,0.1901,0.6417,0.1098,0.2309,0.1694,0.3377,0.1851,0.4386,0.0889,0.1724,0.1438,0.2684,0.2004,0.4060,0.3633,0.4534,0.3282,0.5150,0.3048,0.5480
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,2.5200,1.9600,2.0333,2.4133,2.2600,2.8733,3.1367,3.4267,3.0733,2.2633,5.0000,2.3300,2.6200,2.4667,2.5900,2.4133,5.3367,2.8700,2.9300,2.3933,2.8467,2.4800,2.4233,2.5533,2.5467,1.9967,2.1800,2.3433,0.5675,0.7087,0.6370,0.6785,0.5793,0.6136,0.5174,0.5285,0.5765,0.7365,0.3675,0.3672,0.4795,0.4327,0.5722,0.5675,0.3454,0.2731,0.4133,0.4276,0.4997,0.5699,0.6028,0.6317,0.6656,0.7023,0.6480,0.7161,0.3640,0.5809,0.4495,0.4891,0.3536,0.3799,0.2600,0.2629,0.3134,0.5958,0.1777,0.2265,0.2784,0.2976,0.3553,0.4309,0.1617,0.1777,0.2595,0.3003,0.3143,0.4252,0.4330,0.4533,0.4754,0.5386,0.4807,0.5798
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,4.2667,2.5300,2.7667,2.3400,3.5567,3.0700,3.6933,3.9033,3.9633,2.4200,5.7267,3.3500,5.6067,3.1200,5.0700,3.0367,6.4333,3.0933,5.9533,2.8867,5.4933,2.8100,3.8133,2.5400,4.8167,2.2167,3.9000,2.6767,0.5026,0.6702,0.5801,0.6322,0.5035,0.5915,0.4876,0.4813,0.5135,0.6794,0.3626,0.3528,0.3856,0.5038,0.4784,0.5836,0.2754,0.3072,0.3886,0.4214,0.4686,0.5731,0.5393,0.6757,0.5415,0.7018,0.6015,0.7038,0.2395,0.5472,0.3248,0.4623,0.2608,0.3809,0.2119,0.2065,0.2095,0.5663,0.1460,0.2149,0.1866,0.3380,0.2157,0.4218,0.0931,0.1887,0.1644,0.2819,0.2237,0.4120,0.3189,0.5032,0.3144,0.5383,0.3261,0.5623
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,6.8133,1.4600,4.3433,2.4500,3.6933,2.9833,5.0567,4.1900,6.8067,1.2400,6.7800,3.4600,7.0000,4.0900,6.3133,3.0933,6.9800,3.6933,6.6867,3.8533,6.6567,3.2167,5.6767,2.8867,5.6033,2.3033,6.2133,1.7900,0.4188,0.7732,0.4671,0.6665,0.5287,0.5927,0.5010,0.5351,0.3283,1.0000,0.3044,0.3638,0.3821,0.4092,0.3537,0.5404,0.2206,0.3066,0.2565,0.4196,0.3827,0.5198,0.5378,0.5626,0.4824,0.6798,0.3370,0.7598,0.1039,0.6150,0.2188,0.4328,0.2649,0.3106,0.2192,0.2472,0.0885,1.0000,0.0747,0.1678,0.0860,0.2414,0.1056,0.3203,0.0449,0.1638,0.0885,0.2404,0.0921,0.3255,0.2274,0.3349,0.1896,0.4507,0.1284,0.5529
./robustness_results/SD_Img2Img/MagicBrush_photoguard,6.5533,1.4600,2.9767,2.4500,3.1700,2.9833,3.7733,4.1900,6.3100,1.2400,5.6833,3.4600,6.5167,4.0900,5.9400,3.0933,5.8800,3.6933,6.3167,3.8533,5.7000,3.2167,3.3333,2.8867,2.8367,2.3033,3.0267,1.7900,0.3543,0.7732,0.6406,0.6665,0.5989,0.5927,0.5106,0.5351,0.2717,1.0000,0.2878,0.3638,0.3184,0.4092,0.3877,0.5404,0.3355,0.3066,0.3420,0.4196,0.3703,0.5198,0.5675,0.5626,0.6801,0.6798,0.5554,0.7598,0.1287,0.6150,0.3710,0.4328,0.3075,0.3106,0.2342,0.2472,0.0896,1.0000,0.0844,0.1678,0.1130,0.2414,0.1263,0.3203,0.0844,0.1638,0.1058,0.2404,0.1505,0.3255,0.2915,0.3349,0.3981,0.4507,0.2601,0.5529
./robustness_results/SD_Img2Img/MagicBrush_target_opt,6.5367,1.5900,4.0600,2.2567,3.5967,2.7400,4.9733,4.2067,6.4300,1.2400,6.6267,3.5800,6.9400,3.8733,6.2700,3.3167,6.7900,3.7133,6.4667,4.0767,6.4567,3.2133,5.2433,2.9967,5.0333,2.4867,5.7200,1.5567,0.3558,0.7748,0.5157,0.6684,0.5653,0.5950,0.5333,0.5361,0.3136,0.9503,0.2502,0.3658,0.3351,0.4051,0.3669,0.5427,0.2460,0.3085,0.2713,0.4202,0.3626,0.5249,0.4555,0.5616,0.4903,0.6775,0.3658,0.7592,0.0811,0.6163,0.2511,0.4311,0.2615,0.3066,0.2123,0.2450,0.0780,0.9429,0.0668,0.1666,0.0931,0.2404,0.1166,0.3182,0.0498,0.1609,0.0869,0.2367,0.0942,0.3255,0.1980,0.3308,0.1960,0.4454,0.1268,0.5483
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,4.5633,1.3467,2.8067,1.6000,3.4200,2.2333,3.5700,2.9200,5.4467,1.3600,7.0000,3.0033,6.8133,2.3633,5.2733,1.8967,7.0000,3.0500,6.6800,2.4600,4.9067,1.7033,3.8400,1.6667,4.4800,2.0100,4.8100,1.7400,0.5580,0.7605,0.6672,0.7736,0.6418,0.7264,0.5670,0.6217,0.5467,0.7943,0.3147,0.3472,0.4270,0.5189,0.5675,0.6530,0.2769,0.2762,0.3657,0.4341,0.5039,0.6292,0.6121,0.7164,0.6468,0.7383,0.5697,0.7634,0.3237,0.6206,0.4285,0.6092,0.4086,0.5273,0.3244,0.3756,0.2526,0.6778,0.1071,0.2149,0.1963,0.3639,0.2823,0.5137,0.0975,0.1797,0.1526,0.3036,0.2515,0.4910,0.3770,0.5407,0.3893,0.5557,0.3233,0.6273
./robustness_results/SD_Inpainting/MagicBrush_photoguard,2.3600,1.3467,1.5133,1.6000,2.0533,2.2333,3.7333,2.9200,3.7600,1.3600,3.9967,3.0033,3.2300,2.3633,2.4700,1.8967,5.1800,3.0500,2.9567,2.4600,2.1467,1.7033,1.9933,1.6667,1.9300,2.0100,1.9633,1.7400,0.6868,0.7605,0.7546,0.7736,0.6919,0.7264,0.5941,0.6217,0.6593,0.7943,0.3467,0.3472,0.4851,0.5189,0.5954,0.6530,0.3219,0.2762,0.4203,0.4341,0.5352,0.6292,0.7018,0.7164,0.7016,0.7383,0.7014,0.7634,0.4598,0.6206,0.5649,0.6092,0.5019,0.5273,0.3525,0.3756,0.4141,0.6778,0.1726,0.2149,0.2759,0.3639,0.3838,0.5137,0.1558,0.1797,0.2411,0.3036,0.3837,0.4910,0.4901,0.5407,0.5245,0.5557,0.5181,0.6273
./robustness_results/SD_Inpainting/MagicBrush_target_opt,4.5433,1.3300,3.3367,1.4000,3.6133,2.2700,4.2233,2.9367,5.6767,1.3133,7.0000,2.8567,6.5900,2.2700,5.5067,1.9033,6.9000,2.9733,6.6000,2.6000,5.8600,1.6567,3.1900,1.6333,4.2700,1.8433,5.2633,1.6733,0.5910,0.7615,0.6700,0.7736,0.6079,0.7243,0.5409,0.6237,0.5274,0.7948,0.3156,0.3432,0.4250,0.5172,0.5242,0.6501,0.2736,0.2750,0.3821,0.4327,0.5062,0.6270,0.6343,0.7164,0.6149,0.7391,0.6064,0.7635,0.3451,0.6214,0.4274,0.6091,0.3915,0.5316,0.3120,0.3767,0.2453,0.6781,0.1141,0.2155,0.2022,0.3660,0.2751,0.5160,0.1036,0.1807,0.1573,0.3058,0.2474,0.4946,0.4123,0.5406,0.3864,0.5563,0.3403,0.6274
