epoch,mean_l_vae,mean_l_noise
1,13.4552543592453,0.05465932931751013
2,13.339366674423218,0.054648501556366684
3,13.235964818000793,0.05459119575098157
4,13.132957496643066,0.0545504998229444
5,13.027566995620727,0.05456501005217433
6,12.923802826404572,0.05452955532819033
7,12.825487670898438,0.05452668594196439
8,12.72456178188324,0.05451851347461343
9,12.636932172775268,0.05445695910602808
10,12.557330837249756,0.05446881052106619
11,12.458934698104859,0.05443597635254264
12,12.372236495018006,0.05443374395370484
13,12.284069476127625,0.05437962071970105
14,12.204711368083954,0.05434078576043248
15,12.117635779380798,0.0543476203456521
16,12.04772183895111,0.05430824479088187
17,11.958767960071564,0.05431421691551805
18,11.884766268730164,0.05426156315952539
19,11.812686500549317,0.05427757082507014
20,11.744667134284974,0.05418111462146044
21,11.673464565277099,0.054152079373598096
22,11.612022342681884,0.05418199298903346
23,11.537297868728638,0.054124909322708845
24,11.467087094783784,0.05411114722490311
25,11.397824878692626,0.054101934935897586
26,11.340399634838104,0.05404528422281146
27,11.269117140769959,0.054044181499630216
28,11.213472032546997,0.054011296723037956
29,11.150792880058289,0.05397215260192752
30,11.098063778877258,0.05397585334256291
31,11.041684885025024,0.05396774908527732
32,10.983396277427673,0.05391744902357459
33,10.931275782585145,0.053879722356796264
34,10.881405057907104,0.053869849760085346
35,10.824259819984436,0.0538861376978457
36,10.771815814971923,0.053838694319128994
37,10.721809754371643,0.053816018272191284
38,10.672306482791901,0.053778816014528275
39,10.624024777412414,0.05377362037077546
40,10.5724586725235,0.053760607372969386
41,10.536488041877746,0.05377098580822349
42,10.478748784065246,0.053745185155421496
43,10.439993515014649,0.05366459246724844
44,10.398202667236328,0.05368795365095139
45,10.35161199092865,0.053636160511523485
46,10.311471247673035,0.05361522352322936
47,10.267763044834137,0.05358359176665545
48,10.229112200737,0.05355675019323826
49,10.191240272521974,0.053526427783072
50,10.146717448234558,0.05351652998477221
51,10.106527009010314,0.05351132297888398
52,10.071987190246581,0.05349779868498444
53,10.030224492549896,0.05346403419971466
54,9.992767405509948,0.053469054233282805
55,9.96005847454071,0.05344945799559355
56,9.928462266921997,0.05344414131715894
57,9.889604544639587,0.053421696722507475
58,9.855222973823548,0.05340860372409224
59,9.81587770462036,0.05338735057041049
60,9.793885884284974,0.05337709540501237
61,9.75575372695923,0.053351720646023754
62,9.72930465221405,0.053318205568939445
63,9.696186828613282,0.05328847693279386
64,9.658335366249084,0.05330806564539671
65,9.629012639522552,0.053239935506135226
66,9.595039191246032,0.05325034881010651
67,9.569935908317566,0.05323080755770206
68,9.532990736961365,0.053236824367195366
69,9.506405367851258,0.05322048956528306
70,9.478578424453735,0.05317677160724998
71,9.454394989013672,0.053166637029498816
72,9.426729598045348,0.05317541522905231
73,9.401833777427674,0.05316474914550781
74,9.378901159763336,0.05313115226104856
75,9.343664026260376,0.053156652040779594
76,9.32473572254181,0.053093196209520105
77,9.28995318889618,0.053096236661076546
78,9.25974374294281,0.05312177525833249
79,9.246339263916015,0.05310433948412538
80,9.221670665740966,0.05305248888209462
81,9.187580342292785,0.05308564787730575
82,9.172757103443146,0.05303450556471944
83,9.143983595371246,0.05303150882944465
84,9.1242800116539,0.05303478267043829
85,9.098292951583863,0.05301981221884489
86,9.079275741577149,0.053024449963122604
87,9.050640950202942,0.052977829668670894
88,9.03312688112259,0.05297078024595976
89,9.016581149101258,0.05295877393335104
90,8.985515022277832,0.05292293217033148
91,8.964141001701355,0.05290282255038619
92,8.946053249835968,0.052917970940470696
93,8.923931562900544,0.052893446031957864
94,8.91243530511856,0.05282048614695668
95,8.878750853538513,0.05277662109583616
96,8.860874366760253,0.052810904178768395
97,8.845519199371338,0.05280363149940968
98,8.82210738658905,0.052732263877987864
99,8.802430176734925,0.05280316388234496
100,8.781589555740357,0.052770771440118554
