lambda_noise,l_vae,l_vae_std,l_noise,l_noise_std,subject_lpips,subject_lpips_std,global_lpips,global_lpips_std
1.0,9.240260124206543,0.7545357675009461,0.05267024263739586,0.005352426804362264,0.6164054807568486,0.10236422307460459,0.16674938499927522,0.02056092534356887
10.0,9.133481979370117,0.9105567520599473,0.04799965545535088,0.005793203661983341,0.6028731158347777,0.12010437905502862,0.16271982192993165,0.025533204249151422
50.0,9.65786190032959,0.8306703407536495,0.028165094926953314,0.0065316749522609605,0.464014123733698,0.10433388227520522,0.12579502761363984,0.02066300927736588
100.0,10.330706787109374,0.9046366294542889,0.021240792237222195,0.005241960532412806,0.38937248808957353,0.09499795188346193,0.10629233121871948,0.01766463977079024
150.0,10.867698097229004,1.152797013302015,0.01813054960221052,0.004734560341448267,0.3357233744147729,0.08134080635348792,0.09223794788122178,0.01620897637233963
200.0,11.12694435119629,1.2249017466124905,0.016166167333722115,0.004051135319090954,0.29827150277210523,0.0804129865010524,0.08191587924957275,0.017007514124552113
